År;Jan;Feb;Mar;Apr;Maj;Jun;Jul;Aug;Sep;Okt;Nov;Dec;Årsmedel
2023;391,50;395,82;398,08;399,93;401,19;405,49;405,67;405,97;408,05;409,07;410,35;413,34;403,70
2022;350,56;353,56;359,80;362,02;365,82;370,95;371,28;377,81;383,21;384,04;387,93;395,96;371,91
2021;338,09;339,01;339,54;340,37;341,04;341,32;342,23;343,99;345,74;346,44;348,03;352,47;343,19
2020;332,82;334,47;333,91;332,90;334,91;336,84;337,57;337,07;337,27;336,97;337,00;339,34;335,92
2019;328,56;331,02;331,79;334,11;334,95;334,47;335,80;334,39;335,95;336,04;336,36;337,68;334,26
2018;322,51;324,87;325,76;327,10;327,86;328,62;330,33;329,63;331,14;330,72;330,40;331,87;328,40
2017;317,50;319,73;319,68;321,54;321,74;321,97;323,69;323,18;323,62;323,38;324,04;325,23;322,11
2016;313,13;314,14;315,70;315,64;316,21;316,54;316,73;316,38;316,91;318,00;318,10;319,68;316,43
2015;310,75;312,93;313,19;313,16;314,24;313,33;313,43;312,81;314,06;314,29;313,75;314,21;313,35
2014;311,39;312,70;312,68;313,89;314,05;314,70;313,67;313,35;313,85;314,02;313,56;314,05;313,49
2013;312,00;313,39;314,65;314,03;314,54;313,99;313,55;313,84;315,05;314,40;314,20;315,04;314,06
2012;311,85;313,92;314,80;315,49;315,23;314,45;313,23;313,55;314,81;314,59;313,82;314,61;314,20
2011;306,15;308,02;310,11;311,44;312,02;311,28;311,13;311,23;313,41;313,42;314,16;314,78;311,43
2010;299,79;301,59;302,32;302,36;302,92;302,97;302,04;302,06;304,60;305,57;306,58;308,73;303,46
2009;297,88;297,95;298,80;299,26;299,45;300,17;298,80;299,42;300,35;301,11;301,03;301,69;299,66
2008;294,09;295,28;298,08;299,67;300,99;302,45;302,11;301,98;305,08;305,56;303,06;298,99;300,61
2007;285,01;286,45;288,33;289,79;289,48;289,95;289,49;289,41;292,30;293,85;295,75;296,32;290,51
2006;279,59;280,90;282,89;284,32;284,76;284,68;284,19;284,38;286,04;286,07;286,43;286,43;284,22
2005;277,90;279,20;279,80;280,20;280,30;280,40;279,40;279,90;281,90;282,40;281,70;281,80;280,40
2004;278,00;277,30;279,40;279,40;280,10;278,90;278,50;278,20;280,20;281,00;279,40;279,40;279,20
2003;276,00;278,40;279,80;278,80;278,50;277,70;276,80;276,70;278,70;278,90;278,30;278,60;278,10
2002;268,80;269,40;271,80;272,90;273,60;273,20;272,30;272,40;274,50;275,40;274,70;275,10;272,80
2001;261,70;262,60;264,60;266,90;268,70;268,30;266,90;267,60;269,90;269,10;269,20;269,50;267,10
2000;257,50;258,70;259,90;260,00;261,30;261,20;260,00;260,20;262,00;262,60;262,70;262,50;260,70
1999;256,20;256,30;257,30;257,90;258,30;258,70;257,60;257,60;259,40;259,70;259,00;259,60;258,10
1998;256,90;256,60;257,00;257,70;258,10;257,60;257,00;255,70;256,80;257,30;256,70;256,20;257,00
1997;254,60;254,20;255,20;257,00;257,00;257,40;257,30;257,40;259,80;259,60;259,20;259,10;257,30
1996;255,60;255,80;257,00;257,60;257,30;256,30;255,70;254,50;256,00;255,90;255,30;254,90;256,00
1995;251,30;252,30;253,30;255,00;255,30;255,10;254,80;254,50;256,20;256,90;256,80;256,00;254,80
1994;245,10;245,90;246,80;247,80;248,30;248,40;248,40;248,50;250,70;251,00;250,80;250,40;248,50
1993;241,00;241,60;242,70;243,70;243,10;242,30;241,90;242,30;244,50;245,20;245,30;244,30;243,20
1992;230,20;230,30;231,30;231,90;232,00;231,50;231,20;231,30;234,60;235,10;234,00;234,90;232,40
1991;218,90;225,00;225,80;227,10;227,30;227,00;227,10;226,70;229,20;230,10;231,10;230,80;227,20
1990;199,00;199,90;205,40;205,20;206,40;206,20;208,20;209,60;212,00;213,40;214,10;213,90;207,80
1989;183,00;184,00;184,70;186,50;187,30;187,90;187,90;188,70;190,20;191,80;192,20;192,80;188,10
1988;171,60;172,90;173,70;175,20;175,80;176,30;177,10;177,50;178,80;180,20;180,50;180,90;176,70
1987;164,40;164,40;164,70;165,10;165,20;164,90;166,90;167,80;169,40;170,10;170,70;170,70;167,00
1986;158,90;159,00;158,70;159,70;159,70;159,70;160,10;159,90;161,30;161,90;161,90;162,30;160,30
1985;149,60;151,00;152,10;152,70;154,50;153,90;153,80;153,80;154,50;155,50;156,50;157,10;153,80
1984;139,40;138,90;140,90;141,80;142,80;142,40;142,80;143,90;144,80;145,50;146,40;148,80;143,20
1983;129,10;128,80;129,30;130,30;131,10;131,80;132,90;133,50;134,50;135,60;136,40;137,50;132,60
1982;117,40;119,00;119,30;120,10;120,70;121,10;121,90;122,20;122,90;124,60;125,60;125,90;121,70
1981;107,20;109,30;109,80;110,50;111,20;111,60;112,60;113,50;114,30;115,00;115,40;114,90;112,10
1980;95,30;96,80;97,20;97,90;98,20;98,50;99,30;99,90;102,70;104,20;104,80;105,20;100,00
